WorkerID,WorkerName,Skills,AvailableSlots,MaxLoadPerPhase,WorkerGroup,QualificationLevel
W001,Worker 1,"Communication,Excel","[3, 4, 5]",3,GroupA,2
W002,Worker 2,"Excel,Communication","[2, 3, 4]",2,GroupA,2
W003,Worker 3,"Communication,Python","[1, 4, 5]",4,GroupB,1
W004,Worker 4,"Python,Excel","[1, 4, 5]",2,GroupA,2
W005,Worker 5,"Communication,SQL","[3, 4, 5]",3,GroupA,2
W006,Worker 6,"Excel,SQL","[1, 3, 4]",3,GroupA,2
W007,Worker 7,"Communication,Python","[1, 2, 5]",2,GroupB,1
W008,Worker 8,"Excel,Communication","[2, 3, 5]",2,GroupB,2
W009,Worker 9,"SQL,Communication","[1, 2, 5]",3,GroupA,2
W010,Worker 10,"SQL,Excel","[1, 3, 4]",4,GroupA,3
W011,Worker 11,"Excel,Communication","[1, 3, 4]",4,GroupB,1
W012,Worker 12,"Communication,Python","[1, 3, 5]",2,GroupA,3
W013,Worker 13,"SQL,Communication","[2, 3, 5]",4,GroupA,3
W014,Worker 14,"SQL,Excel","[2, 4, 5]",3,GroupA,2
W015,Worker 15,"SQL,Python","[1, 2, 5]",4,GroupA,2
W016,Worker 16,"Communication,Python","[1, 2, 4]",2,GroupB,3
W017,Worker 17,"Communication,Excel","[1, 2, 3]",2,GroupA,1
W018,Worker 18,"SQL,Communication","[1, 3, 5]",4,GroupA,1
W019,Worker 19,"SQL,Excel","[2, 3, 5]",2,GroupA,3
W020,Worker 20,"SQL,Communication","[1, 4, 5]",4,GroupA,2
W021,Worker 21,"Excel,Communication","[1, 3, 4]",3,GroupA,1
W022,Worker 22,"Excel,Communication","[1, 4, 5]",3,GroupB,3
W023,Worker 23,"Excel,SQL","[3, 4, 5]",3,GroupB,3
W024,Worker 24,"Python,Excel","[1, 4, 5]",2,GroupA,1
W025,Worker 25,"SQL,Excel","[1, 2, 3]",3,GroupB,2
W026,Worker 26,"SQL,Python","[1, 3, 4]",3,GroupA,1
W027,Worker 27,"SQL,Communication","[2, 3, 4]",2,GroupB,3
W028,Worker 28,"Python,SQL","[2, 3, 5]",3,GroupB,1
W029,Worker 29,"Python,Excel","[2, 3, 5]",3,GroupB,3
W030,Worker 30,"Excel,SQL","[1, 3, 4]",4,GroupA,3
W031,Worker 31,"Communication,Excel","[2, 3, 5]",3,GroupB,2
W032,Worker 32,"Python,Communication","[1, 3, 4]",3,GroupA,1
W033,Worker 33,"Excel,SQL","[2, 4, 5]",4,GroupA,2
W034,Worker 34,"SQL,Communication","[2, 3, 4]",4,GroupA,2
W035,Worker 35,"Python,Excel","[1, 3, 5]",4,GroupA,2
W036,Worker 36,"Communication,Python","[1, 3, 5]",4,GroupB,1
W037,Worker 37,"Excel,Communication","[1, 3, 5]",4,GroupA,2
W038,Worker 38,"Communication,Excel","[1, 3, 4]",4,GroupA,3
W039,Worker 39,"SQL,Python","[2, 4, 5]",4,GroupA,1
W040,Worker 40,"Python,Communication","[2, 4, 5]",3,GroupB,3
W041,Worker 41,"Excel,Communication","[1, 2, 4]",3,GroupA,1
W042,Worker 42,"SQL,Excel","[1, 4, 5]",4,GroupB,2
W043,Worker 43,"Python,SQL","[2, 3, 4]",3,GroupB,1
W044,Worker 44,"Python,Excel","[1, 3, 4]",4,GroupA,3
W045,Worker 45,"SQL,Excel","[1, 4, 5]",4,GroupA,1
W046,Worker 46,"Communication,Python","[2, 3, 4]",4,GroupB,1
W047,Worker 47,"Excel,Python","[1, 4, 5]",2,GroupA,3
W048,Worker 48,"Python,Communication","[1, 4, 5]",4,GroupA,2
W049,Worker 49,"Excel,Python","[1, 3, 5]",4,GroupA,2
W050,Worker 50,"Python,Excel","[2, 3, 4]",2,GroupA,3
